"area_id","item_id","main_type","mid_type","sub_type","price_text","price",
"1","m40775374273","ベビー・キッズ","子ども用ファッション小物","帽子","¥ 800","800",
"1","m71223227682","ベビー・キッズ","キッズ服(女の子用) 100cm~","パンツ","¥ 2,000","2000",
"1","m40978451475","メンズ","小物","マフラー","¥ 3,555","3555",
"1","m54528069680","エンタメ・ホビー","DVD/ブルーレイ","ミュージック","¥ 2,500","2500",
"1","m35365333803","家電・スマホ・カメラ","スマホアクセサリー","フィルム","¥ 1,200","1200",
"1","m36674943275","レディース","ジャケット/アウター","ジャンパー/ブルゾン","¥ 2,666","2666",
"1","m24715507407","コスメ・香水・美容","ベースメーク/化粧品","アイシャドウ","¥ 1,800","1800",
"1","m65775208220","ベビー・キッズ","ベビー服(男女兼用)  ~95cm","トップス","¥ 5,700","5700",
"1","m11083106216","コスメ・香水・美容","香水","香水(女性用)","¥ 2,200","2200",
"1","m60165584181","レディース","ジャケット/アウター","チェスターコート","¥ 5,800","5800",
"1","m91518380335","その他","食料品","調味料","¥ 730","730",
"1","m58051427809","エンタメ・ホビー","雑誌","ファッション","¥ 555","555",
"1","m48192598525","ベビー・キッズ","キッズ服(女の子用) 100cm~","ワンピース","¥ 1,200","1200",
"1","m40595618514","コスメ・香水・美容","ヘアケア","トリートメント","¥ 599","599",
"1","m54328713188","レディース","ルームウェア/パジャマ","ルームウェア","¥ 10,500","10500",
"1","m72446221954","メンズ","ジャケット/アウター","ダウンジャケット","¥ 6,000","6000",
"2","m66327838803","レディース","トップス","カーディガン/ボレロ","¥ 1,400","1400",
"2","m77371794826","メンズ","小物","手帳","¥ 2,222","2222",
"2","m94508521748","メンズ","ジャケット/アウター","ブルゾン","¥ 6,900","6900",
"2","m96208978883","エンタメ・ホビー","CD","邦楽","¥ 2,800","2800",
"2","m46881965159","スポーツ・レジャー","その他スポーツ","野球","¥ 6,666","6666",
"2","m47914821304","その他","その他","","¥ 1,200","1200",
"2","m78958134785","レディース","小物","キーホルダー","¥ 999","999",
"2","m88022614457","メンズ","ジャケット/アウター","その他","¥ 3,333","3333",
"2","m37946040907","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 700","700",
"2","m29936989395","レディース","アクセサリー","ネックレス","¥ 300","300",
"2","m76199332455","エンタメ・ホビー","フィギュア","特撮","¥ 3,150","3150",
"2","m63614198689","レディース","スカート","ひざ丈スカート","¥ 1,000","1000",
"2","m56260356507","エンタメ・ホビー","トレーディングカード","ドラゴンボール","¥ 999","999",
"2","m74153548751","レディース","ジャケット/アウター","ジャンパー/ブルゾン","¥ 1,900","1900",
"2","m67203549748","レディース","バッグ","ハンドバッグ","¥ 8,000","8000",
"2","m48455656141","レディース","スカート","ひざ丈スカート","¥ 1,500","1500",
"2","m14809019421","スポーツ・レジャー","その他スポーツ","その他","¥ 1,333","1333",
"2","m60206174004","インテリア・住まい・小物","寝具","シーツ/カバー","¥ 5,870","5870",
"2","m51922967119","ハンドメイド","素材/材料","各種パーツ","¥ 4,700","4700",
"2","m13355670598","コスメ・香水・美容","ボディケア","オイル/クリーム","¥ 3,900","3900",
"2","m63916067307","インテリア・住まい・小物","寝具","シーツ/カバー","¥ 4,770","4770",
"2","m34844377868","レディース","アクセサリー","ピアス(両耳用)","¥ 888","888",
"2","m67691496657","レディース","トップス","Tシャツ/カットソー(半袖/袖なし)","¥ 1,999","1999",
"2","m14714344788","スポーツ・レジャー","スキー","ウエア(女性用)","¥ 10,000","10000",
"2","m63708375973","レディース","レッグウェア","ソックス","¥ 300","300",
"2","m71807919012","インテリア・住まい・小物","ラグ/カーペット/マット","ラグ","¥ 2,270","2270",
"2","m18265536669","スポーツ・レジャー","その他スポーツ","サッカー/フットサル","¥ 1,000","1000",
"2","m22882814399","メンズ","帽子","キャップ","¥ 500","500",
"2","m28278996110","レディース","靴","スニーカー","¥ 2,800","2800",
"2","m56367002978","レディース","パンツ","カジュアルパンツ","¥ 2,500","2500",
"2","m80804042029","エンタメ・ホビー","美術品","彫刻/オブジェクト","¥ 800","800",
"2","m68280927490","レディース","トップス","パーカー","¥ 3,600","3600",
"2","m78636158815","メンズ","パンツ","その他","¥ 5,000","5000",
"2","m15148984115","コスメ・香水・美容","スキンケア/基礎化粧品","美容液","¥ 2,900","2900",
"2","m901975030","レディース","トップス","チュニック","¥ 800","800",
"2","m57495736420","エンタメ・ホビー","フィギュア","SF/ファンタジー/ホラー","¥ 6,980","6980",
"2","m97919352527","メンズ","ジャケット/アウター","ダウンジャケット","¥ 83,000","83000",
"2","m72418613191","メンズ","ジャケット/アウター","ブルゾン","¥ 6,900","6900",
"2","m26719156287","スポーツ・レジャー","フィッシング","ルアー用品","¥ 3,600","3600",
"2","m86265819951","チケット","音楽","国内アーティスト","¥ 1,777","1777",
"2","m73330936017","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 330","330",
"2","m80402164049","エンタメ・ホビー","CD","K-POP/アジア","¥ 1,020","1020",
"2","m75513501885","レディース","バッグ","ショルダーバッグ","¥ 2,700","2700",
"2","m72143789831","レディース","トップス","ニット/セーター","¥ 1,500","1500",
"2","m35656063027","エンタメ・ホビー","タレントグッズ","アイドル","¥ 500","500",
"2","m261296891","レディース","ジャケット/アウター","スプリングコート","¥ 1,999","1999",
"2","m48751454633","ベビー・キッズ","ベビー服(男女兼用)  ~95cm","アウター","¥ 1,500","1500",
"2","m68457601961","コスメ・香水・美容","香水","香水(男性用)","¥ 2,300","2300",
"2","m55069039574","レディース","アクセサリー","ピアス(両耳用)","¥ 850","850",
"2","m20885944643","その他","ペット用品","犬","¥ 7,770","7770",
"2","m13870074045","インテリア・住まい・小物","キッチン/食器","調理器具","¥ 19,500","19500",
"2","m73700787546","エンタメ・ホビー","CD","邦楽","¥ 800","800",
"2","m82372446049","エンタメ・ホビー","雑誌","ファッション","¥ 600","600",
"2","m13821174886","ベビー・キッズ","キッズ服(男女兼用) 100cm~","ジャケット/上着","¥ 1,500","1500",
"2","m98111018516","レディース","スカート","ミニスカート","¥ 1,300","1300",
"2","m57082052947","メンズ","トップス","スウェット","¥ 6,500","6500",
"2","m62216196246","レディース","ジャケット/アウター","モッズコート","¥ 43,800","43800",
"2","m51231406089","ベビー・キッズ","ベビー服(男の子用)  ~95cm","トップス","¥ 510","510",
"2","m52890039809","エンタメ・ホビー","フィギュア","特撮","¥ 3,000","3000",
"2","m99688155232","エンタメ・ホビー","フィギュア","特撮","¥ 3,700","3700",
"2","m12474686872","レディース","ワンピース","ひざ丈ワンピース","¥ 800","800",
"2","m26454898560","レディース","レッグウェア","ソックス","¥ 300","300",
"2","m91505158344","家電・スマホ・カメラ","スマートフォン/携帯電話","スマートフォン本体","¥ 6,666","6666",
"2","m28866237050","家電・スマホ・カメラ","PC/タブレット","PC周辺機器","¥ 4,200","4200",
"2","m18467076883","レディース","トップス","パーカー","¥ 1,700","1700",
"2","m13579728433","ベビー・キッズ","おもちゃ","その他","¥ 7,870","7870",
"2","m92640370475","レディース","トップス","カーディガン/ボレロ","¥ 3,500","3500",
"2","m46608630613","レディース","トップス","Tシャツ/カットソー(半袖/袖なし)","¥ 1,200","1200",
"2","m73571545986","コスメ・香水・美容","その他","健康用品","¥ 3,199","3199",
"2","m15004712447","インテリア・住まい・小物","インテリア小物","フォトフレーム","¥ 2,000","2000",
"2","m32582550999","メンズ","トップス","スウェット","¥ 4,500","4500",
"2","m11006770405","メンズ","トップス","パーカー","¥ 3,999","3999",
"2","m78749703691","その他","食料品","加工食品","¥ 1,500","1500",
"2","m83677654520","インテリア・住まい・小物","その他","","¥ 5,870","5870",
"2","m84246076993","ベビー・キッズ","ベビー服(男の子用)  ~95cm","アウター","¥ 730","730",
"2","m76703316355","コスメ・香水・美容","ベースメーク/化粧品","ファンデーション","¥ 850","850",
"2","m15097162377","その他","その他","","¥ 899","899",
"2","m88617447898","レディース","ジャケット/アウター","毛皮/ファーコート","¥ 7,800","7800",
"2","m20558937104","レディース","ジャケット/アウター","ダッフルコート","¥ 900","900",
"2","m78609431356","エンタメ・ホビー","トレーディングカード","遊戯王","¥ 300","300",
"2","m84964473143","エンタメ・ホビー","CD","K-POP/アジア","¥ 660","660",
"2","m16428571828","エンタメ・ホビー","トレーディングカード","ドラゴンボール","¥ 1,111","1111",
"2","m78241807978","インテリア・住まい・小物","寝具","シーツ/カバー","¥ 3,870","3870",
"2","m10854428993","レディース","バッグ","ポーチ/バニティ","¥ 666","666",
"2","m58777238144","その他","その他","","¥ 800","800",
"2","m92262358944","レディース","トップス","カーディガン/ボレロ","¥ 1,100","1100",
"2","m88826333941","ベビー・キッズ","ベビー服(男女兼用)  ~95cm","アウター","¥ 950","950",
"3","m36206619035","スポーツ・レジャー","トレーニング/エクササイズ","ウォーキング","¥ 888","888",
"3","m77425028705","レディース","トップス","トレーナー/スウェット","¥ 2,000","2000",
"3","m20447536773","家電・スマホ・カメラ","スマホアクセサリー","iPhone用ケース","¥ 300","300",
"3","m36327413391","メンズ","帽子","キャップ","¥ 1,000","1000",
"3","m51958030718","エンタメ・ホビー","テレビゲーム","携帯用ゲームソフト","¥ 1,222","1222",
"3","m14521989446","エンタメ・ホビー","トレーディングカード","プリパラ","¥ 300","300",
"3","m14485553906","メンズ","アンダーウェア","その他","¥ 1,450","1450",
"3","m82778990019","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 2,500","2500",
"3","m38737428091","エンタメ・ホビー","トレーディングカード","デュエルマスターズ","¥ 777","777",
"3","m81519436366","ハンドメイド","日用品/インテリア","文房具","¥ 1,200","1200",
"3","m13969772156","レディース","ジャケット/アウター","ロングコート","¥ 8,000","8000",
"3","m59328297512","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 1,800","1800",
"3","m25166327255","ハンドメイド","日用品/インテリア","文房具","¥ 900","900",
"3","m95304498102","コスメ・香水・美容","ベースメーク/化粧品","口紅","¥ 11,111","11111",
"3","m113583618","レディース","パンツ","デニム/ジーンズ","¥ 3,000","3000",
"3","m30327182198","メンズ","ジャケット/アウター","ナイロンジャケット","¥ 10,800","10800",
"3","m50479921214","メンズ","トップス","パーカー","¥ 4,000","4000",
"3","m31405421828","家電・スマホ・カメラ","PC/タブレット","PCパーツ","¥ 1,500","1500",
"3","m23876015254","メンズ","小物","キーケース","¥ 1,200","1200",
"3","m68794017177","エンタメ・ホビー","トレーディングカード","プリパラ","¥ 300","300",
"3","m48603297454","メンズ","靴","ドレス/ビジネス","¥ 13,500","13500",
"3","m68269877035","メンズ","靴","ドレス/ビジネス","¥ 13,500","13500",
"3","m15958085452","家電・スマホ・カメラ","スマートフォン/携帯電話","スマートフォン本体","¥ 30,000","30000",
"3","m47575449816","メンズ","靴","ブーツ","¥ 16,500","16500",
"3","m21795105907","エンタメ・ホビー","タレントグッズ","アイドル","¥ 1,500","1500",
"3","m23519942063","レディース","パンツ","カジュアルパンツ","¥ 4,999","4999",
"3","m11698460484","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 400","400",
"3","m50501346543","その他","ペット用品","魚/水草","¥ 888","888",
"3","m24759742082","エンタメ・ホビー","テレビゲーム","携帯用ゲームソフト","¥ 1,111","1111",
"3","m18320619399","ハンドメイド","日用品/インテリア","フラワー/ガーデン","¥ 700","700",
"3","m67713256941","メンズ","トップス","ベスト","¥ 1,800","1800",
"3","m36564776971","スポーツ・レジャー","スノーボード","ウエア/装備(男性用)","¥ 5,000","5000",
"3","m85203790812","その他","文房具/事務用品","ノート/メモ帳","¥ 330","330",
"3","m43157067687","エンタメ・ホビー","フィギュア","コミック/アニメ","¥ 1,100","1100",
"3","m65393509731","ハンドメイド","日用品/インテリア","文房具","¥ 350","350",
"3","m79806722029","レディース","トップス","Tシャツ/カットソー(半袖/袖なし)","¥ 1,111","1111",
"3","m31691560133","レディース","バッグ","トートバッグ","¥ 3,899","3899",
"3","m95012285378","エンタメ・ホビー","おもちゃ/ぬいぐるみ","プラモデル","¥ 2,999","2999",
"3","m26437592640","レディース","アクセサリー","ネックレス","¥ 3,000","3000",
"3","m47856500546","エンタメ・ホビー","タレントグッズ","アイドル","¥ 2,500","2500",
"3","m54744773308","メンズ","トップス","Tシャツ/カットソー(半袖/袖なし)","¥ 3,000","3000",
"3","m80630722766","エンタメ・ホビー","本","住まい/暮らし/子育て","¥ 330","330",
"3","m33478802119","エンタメ・ホビー","トレーディングカード","バトルスピリッツ","¥ 1,000","1000",
"3","m20993788381","メンズ","小物","タバコグッズ","¥ 777","777",
"3","m38039819266","レディース","靴","ブーツ","¥ 12,000","12000",
"3","m41143454844","エンタメ・ホビー","タレントグッズ","ミュージシャン","¥ 1,280","1280",
"4","m28251459712","インテリア・住まい・小物","キッチン/食器","調理器具","¥ 8,000","8000",
"4","m78105021997","家電・スマホ・カメラ","PC/タブレット","タブレット","¥ 5,555","5555",
"4","m40289094257","レディース","トップス","ニット/セーター","¥ 1,450","1450",
"4","m99217351858","スポーツ・レジャー","スキー","ウエア(子ども用)","¥ 2,500","2500",
"4","m89890190501","エンタメ・ホビー","トレーディングカード","遊戯王","¥ 3,000","3000",
"4","m98702634691","スポーツ・レジャー","その他スポーツ","野球","¥ 60,000","60000",
"4","m75675602978","エンタメ・ホビー","コレクション","切手/官製はがき","¥ 6,780","6780",
"4","m72062749589","メンズ","トップス","Tシャツ/カットソー(半袖/袖なし)","¥ 2,900","2900",
"4","m48554043350","インテリア・住まい・小物","収納家具","棚/ラック","¥ 12,000","12000",
"4","m25793921117","その他","日用品/生活雑貨/旅行","洗剤/柔軟剤","¥ 800","800",
"4","m43872767732","インテリア・住まい・小物","キッチン/食器","食器","¥ 2,888","2888",
"4","m52756989126","エンタメ・ホビー","タレントグッズ","アイドル","¥ 600","600",
"4","m30169240722","レディース","トップス","カーディガン/ボレロ","¥ 1,000","1000",
"4","m78166608609","ハンドメイド","その他","","¥ 400","400",
"4","m41149261389","メンズ","ジャケット/アウター","レザージャケット","¥ 4,000","4000",
"4","m24213018968","自動車・オートバイ","自動車","車内アクセサリー","¥ 2,900","2900",
"4","m22550370301","メンズ","パンツ","スラックス","¥ 2,222","2222",
"4","m29901854702","ハンドメイド","素材/材料","各種パーツ","¥ 1,600","1600",
"4","m34612103314","レディース","ジャケット/アウター","毛皮/ファーコート","¥ 2,300","2300",
"4","m31388031885","メンズ","トップス","Tシャツ/カットソー(七分/長袖)","¥ 3,600","3600",
"4","m93182221208","スポーツ・レジャー","その他スポーツ","サッカー/フットサル","¥ 4,200","4200",
"4","m14528864498","チケット","音楽","国内アーティスト","¥ 9,111","9111",
"4","m31492002269","レディース","靴","スニーカー","¥ 3,500","3500",
"4","m63668884872","その他","その他","","¥ 300","300",
"4","m51236244959","エンタメ・ホビー","タレントグッズ","ミュージシャン","¥ 1,350","1350",
"4","m70568810153","ハンドメイド","日用品/インテリア","その他","¥ 2,800","2800",
"4","m52442646796","メンズ","トップス","スウェット","¥ 8,000","8000",
"4","m26093190234","レディース","ジャケット/アウター","テーラードジャケット","¥ 6,666","6666",
"4","m41393529958","エンタメ・ホビー","おもちゃ/ぬいぐるみ","ホビーラジコン","¥ 1,777","1777",
"4","m10413172291","レディース","マタニティ","インナー","¥ 3,300","3300",
"4","m45322541355","エンタメ・ホビー","本","参考書","¥ 700","700",
"4","m42624299905","メンズ","ジャケット/アウター","Gジャン/デニムジャケット","¥ 4,500","4500",
"4","m27939556577","レディース","パンツ","その他","¥ 2,000","2000",
"4","m63316080649","メンズ","トップス","Tシャツ/カットソー(半袖/袖なし)","¥ 5,222","5222",
"4","m35124665846","メンズ","パンツ","デニム/ジーンズ","¥ 4,000","4000",
"4","m29771475041","インテリア・住まい・小物","キッチン/食器","収納/キッチン雑貨","¥ 1,999","1999",
"4","m19189674905","コスメ・香水・美容","ベースメーク/化粧品","口紅","¥ 1,699","1699",
"4","m34296702556","ベビー・キッズ","キッズ服(男女兼用) 100cm~","トップス(その他)","¥ 1,327","1327",
"4","m88049729000","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 900","900",
"4","m33080867594","コスメ・香水・美容","ベースメーク/化粧品","アイシャドウ","¥ 400","400",
"4","m66973054684","エンタメ・ホビー","トレーディングカード","デュエルマスターズ","¥ 900","900",
"4","m67617519381","レディース","パンツ","デニム/ジーンズ","¥ 4,500","4500",
"4","m10886760302","レディース","ワンピース","ひざ丈ワンピース","¥ 23,000","23000",
"4","m56756313129","メンズ","ジャケット/アウター","ダウンジャケット","¥ 4,980","4980",
"4","m29047044641","メンズ","トップス","Tシャツ/カットソー(七分/長袖)","¥ 5,000","5000",
"4","m43324020315","エンタメ・ホビー","漫画","青年","¥ 300","300",
"4","m57589651087","エンタメ・ホビー","おもちゃ/ぬいぐるみ","キャラクターグッズ","¥ 999,999","999999",
"3","m71621005963","ベビー・キッズ","キッズ服(女の子用) 100cm~","トップス(その他)","¥ 1,444","1444",
"3","m76854581909","コスメ・香水・美容","ボディケア","ハンドクリーム","¥ 2,400","2400",
"3","m70951206322","レディース","パンツ","サロペット/オーバーオール","¥ 3,999","3999",
"3","m24281527876","エンタメ・ホビー","トレーディングカード","デュエルマスターズ","¥ 5,555","5555",
"3","m39553260186","レディース","バッグ","トートバッグ","¥ 2,422","2422",
"3","m39357288139","メンズ","バッグ","ショルダーバッグ","¥ 1,222","1222",
"3","m46616585057","自動車・オートバイ","自動車","車内アクセサリー","¥ 1,800","1800",
"3","m90380062125","エンタメ・ホビー","トレーディングカード","デュエルマスターズ","¥ 333","333",
"3","m23064113505","エンタメ・ホビー","タレントグッズ","アイドル","¥ 2,500","2500",
"3","m58664837505","エンタメ・ホビー","タレントグッズ","ミュージシャン","¥ 2,500","2500",
"3","m69053050346","エンタメ・ホビー","タレントグッズ","ミュージシャン","¥ 2,500","2500",
"3","m99310639875","エンタメ・ホビー","テレビゲーム","携帯用ゲームソフト","¥ 1,555","1555",
"3","m23255041285","エンタメ・ホビー","タレントグッズ","ミュージシャン","¥ 2,500","2500",
"3","m91898877019","エンタメ・ホビー","DVD/ブルーレイ","ミュージック","¥ 2,500","2500",
"3","m16251871319","コスメ・香水・美容","ネイルケア","ネイルカラー","¥ 900","900",
"3","m83088269339","メンズ","トップス","ニット/セーター","¥ 1,300","1300",
"3","m43849990425","ベビー・キッズ","おもちゃ","絵本","¥ 550","550",
"3","m54087773126","エンタメ・ホビー","トレーディングカード","デュエルマスターズ","¥ 444","444",
"3","m36840301106","エンタメ・ホビー","テレビゲーム","携帯用ゲームソフト","¥ 2,000","2000",
"3","m24293214436","レディース","レッグウェア","ソックス","¥ 3,300","3300",
"3","m99200941865","インテリア・住まい・小物","キッチン/食器","弁当用品","¥ 300","300",
"3","m71964514781","ベビー・キッズ","おもちゃ","絵本","¥ 600","600",
"3","m66250315063","レディース","靴","スニーカー","¥ 3,000","3000",
"3","m61669723511","その他","食料品","調味料","¥ 1,250","1250",
"3","m17273551883","ベビー・キッズ","おもちゃ","絵本","¥ 1,111","1111",
"3","m38720936093","スポーツ・レジャー","スノーボード","ウエア/装備(女性用)","¥ 5,000","5000",
"3","m77387867791","自動車・オートバイ","自動車","カーナビ","¥ 7,500","7500",
"3","m11037509432","レディース","靴","スニーカー","¥ 4,500","4500",
"3","m88156256388","エンタメ・ホビー","その他","スポーツ","¥ 3,980","3980",
"3","m48155500229","メンズ","ジャケット/アウター","ピーコート","¥ 1,800","1800",
"3","m50359757171","コスメ・香水・美容","ベースメーク/化粧品","メイク道具/化粧小物","¥ 1,350","1350",
"3","m53408758351","レディース","バッグ","スポーツバッグ","¥ 2,500","2500",
"3","m25745912815","家電・スマホ・カメラ","スマホアクセサリー","iPhone用ケース","¥ 790","790",
"3","m36639723594","コスメ・香水・美容","ボディケア","オイル/クリーム","¥ 9,500","9500",
"3","m83913384448","レディース","バッグ","スポーツバッグ","¥ 800","800",
"3","m50405109568","エンタメ・ホビー","テレビゲーム","携帯用ゲームソフト","¥ 1,888","1888",
"3","m92667992915","スポーツ・レジャー","スノーボード","バインディング","¥ 9,000","9000",
"3","m71108587010","メンズ","トップス","Tシャツ/カットソー(半袖/袖なし)","¥ 3,500","3500",
"3","m87368582144","メンズ","トップス","Tシャツ/カットソー(半袖/袖なし)","¥ 3,500","3500",
"3","m64593563491","レディース","ジャケット/アウター","チェスターコート","¥ 6,200","6200",
"3","m20185590688","コスメ・香水・美容","ヘアケア","シャンプー","¥ 3,500","3500",
"3","m38613241791","レディース","スカート","キュロット","¥ 600","600",
"3","m55979690730","レディース","靴","ハイヒール/パンプス","¥ 1,800","1800",
"3","m26017606460","家電・スマホ・カメラ","美容/健康","マッサージ機","¥ 29,999","29999",
